# ============================================================================
# RailFanAI · Agent 交叉验证测试集（RAG-EVAL TS v1）
# ============================================================================
# 本文件是"机器可读"的自动化测试集，不走手动测。每一行 = 一个用例，由执行
# Agent 逐条调用 /api/chat 采集证据，再由"主裁决 + 交叉复核"多个 Agent 独立评分
# 后交叉验证。格式声明与评分算法见 ../ragval/README.md（本文档配套文档）。
#
# 【行格式】一行一个用例，字段以竖线 `|` 分隔，共 9 列：
#   编号 | 分类 | 模式 | 我要问的话 | 我期待的结果 | 硬性可核对判定点 | 一票否决 | 权威核对源 | 备注
#
# 【多轮用例】"我要问的话"里用 `;;` 分隔每一轮（后续轮次作为上文语境传入 history；
#   同轮多个判定点仍用逗号分隔）。不需要 `;;` 的即单轮用例。
#
# 【判定点语法】用逗号分隔；每点是一句可由"外部核证 + 判官"独立核对的断言
#   （数值区间、格式、行为要求、日期锚定、站名/车次）。首列"编号"带 ★ = 核心必测。
#
# 【一票否决】命中任一即该用例直接判 0 分并计入"红线问题"，由两个判官独立确认。
# 【权威核对源】外部核证 Agent 用它做 ground-truth 对照：
#   12306=实时余票/时刻/经停权威；rail.re=车次↔车组交路；黄河客里=径路/里程；
#   知识=车型参数等常识（要求系统标注"据模型知识，未检索确认"）；工具链=答案须与
#   本次 tool_trace 返回的事实自洽。
#
# 分类代码：A交路担当 C余票 D时刻经停 E车站 F径路里程 B车型知识
#            G拍车 H资讯 I多轮 K老实安全
# 模式代码：real=依赖实时数据/境内网络；offline=纯知识或流程；hybrid=混合口径。
# 提问以"不懂技术的车迷"日常原话书写，允许口语、黑话、错字——但判定点必须客观可核对。
# ============================================================================

A01★ | A | real | 今天 G1 由哪组动车组担当？ | 报出带横杠的车组号（形如 CR400BF-5054 或 CR400BFA-xxxx），明示"今天(x月x日)"，附数据出处 | 车组号格式规范(带横杠),明示日期,车组号来自当日交路记录,附来源,全程与今日相符 | 编造车组号或给出无日期的编号 | rail.re | 招牌能力；取数时刻记入证据
A02★ | A | real | 昨天 G1 是哪个车组跑的？ | 给出昨日交路记录并注明日期；若"昨天"无记录则如实说明最近一条是哪天 | 日期与"昨天"一致,要么给记录要么明说缺记录,不编 | 编造昨日车组号 | rail.re | 交路是"记录到哪天算哪天"，允许说明局限
A03★ | A | real | CR400BF-5054 今天都跑哪些车次？ | 列出该车组当日担当车次（可多趟连跑），标注"今日" | 车次与当日交路一致,每个列出车次在12306可查到,标注日期 | 编造车次列表 | rail.re + 12306 | 优先用 A01 答案里的真实车组号
A04 | A | real | CR400AF 今天的车都担当了哪些车次？ | 给当日该车型担当车次的抽查清单，说明覆盖口径 | 抽查1-2趟与该车组反查一致,不编列表 | 编造车次 | rail.re | 按车型反查，覆盖有限时说明
A05 | A | real | g1次列车今天的车底是啥？ | 大小写与"次列车"不干扰，认成 G1，口径同 A01 | 车次识别为 G1,车组口径同A01,不因写法生搬错车 | 生搬错车 | rail.re | 考口语宽容度
A06 | A | real | 上个月15号 G1 是哪组担当的？ | 将该日期换算正确（当年当月15号），给当日记录或明说缺记录 | 换算日期正确,记录或如实缺数据,带日期标注 | 日期换算错且不自知 | rail.re | 考裸日期换算
A07 | A | real | 明天 G1 由哪组担当？ | 明说"明天的交路还没出来/数据支撑不了"，或给最近记录并说明局限 | 不拍明天的车组号,解释合情理 | 拍出未来车组号 | rail.re | 考是否装先知；交路=已发生记录
C01★ | C | real | 明天北京南到上海虹桥还有二等座吗？ | 车次列表+各趟二等座状态(有/无/候补)，"明天"落到具体日期 | 日期明示不差分毫,方向北京南→虹桥不反,抽1-2趟与12306同分钟一致,候补不当作有票 | 编造席别状态 | 12306 | 记下提问时刻；实时类集中同一时段测
C02 | C | real | 后天北京西到重庆北还有软卧吗？ | 卧铺席别分开报(软卧/硬卧)，不混 | 席别对号,软卧状态与12306同分钟一致 | 席别混淆 | 12306 | 考卧铺
C03 | C | real | 这周五上海到北京一等座什么情况？ | 简称匹配为上海→北京，日期落到本周五 | 日期经日历核对不多不少,起讫方向正确,状态与12306一致 | 日期算到上周/下周 | 12306 | 考站名简称+周几换算
C04 | C | real | 明天晚上北京南到上海虹桥二等座还有吗？ | 如实报"无/候补"，不粉饰 | 与12306同分钟一致,显示候补时不当有票 | 无票说成有票 | 12306 | 考"无票敢直说"
C05 | C | real | 明天从北京南出发的高铁还有票吗？ | 缺到达站：追问到哪，或说明需要到站才能查，不自作主张挑目的地 | 不静默替用户挑唯一目的地,有追问或说明 | 擅自挑目的地给数据 | 12306 | 考缺信息行规
C06 | C | real | 明年1月1日北京南到上海虹桥二等座还有多少张？ | 明说查不到+原因(超出预售期15天，以12306为准)，绝不编张数 | 不编张数,能解释预售期 | 编具体张数 | 12306 | 考"不懂就说明白"
D01★ | D | real | G1 明天几点从北京南发车？ | 发车时刻 + "明天"具体日期 | 时刻与12306一致,日期明示 | 时刻与12306不符 | 12306 | 记提问时刻
D02 | D | real | G1 都经停哪些站？ | 全部经停+大致停站时分 | 经停站名无缺漏顺序不颠倒,与12306一致 | 站名缺或顺序颠倒 | 12306 | -
D03 | D | real | G1 全程要跑多长时间？ | 给历时(几小时几分) | 历时=到站-发站换算正确 | 换算错误 | 12306 | -
D04 | D | real | 查一下 G101 明天的时刻 | 只给车次号也能自动补起讫并给时刻 | 起讫与12306一致,不反问一屏废话 | 起讫推断错 | 12306 | 考"只给车次时补全"
D05 | D | real | 1461 都经过哪些站？几点开？ | 正常运行给普速经停与发车时刻 | 与12306一致,若当日停运/调整如实说明 | 编时刻 | 12306 | 考普速覆盖
D06 | D | real | 今天早上已发车的 G1，下午再问"G1 今天几点到上海虹桥？" | 提示"该车可能已发车，12306不再列出" | 有已发车提示,不返回陈旧数据也不编 | 用陈旧数据冒充 | 12306 | 安排在下午测；考时效诚实
E01★ | E | offline | 上海虹桥的电报码是什么？ | 给出电报码并说明来自站点库 | 与12306车站口径一致 | 电报码错 | 12306站点库 | 静态数据
E02 | E | offline | VNP 是哪个站？ | 北京南 | 答对且不混站 | 答错 | 12306站点库 | 反查
E03 | E | offline | 我在苏州，附近有哪些火车站？ | 至少列苏州、苏州北、苏州园区、苏州新区并分性质(高铁/普速) | 四站在列不编站,能分市区站与高铁站 | 编造站点 | 12306站点库 | 列昆山/昆山南算加分
E04 | E | offline | 苏州站和苏州北站是一回事吗？ | 明确不是同一站，分讲京沪线与京沪高铁 | 判断正确,性质讲对 | 当同站 | 12306站点库 | 考易混站
E05 | E | offline | 查一下太安站 | 纠正为泰安站，或提示无此站给近似候选 | 有纠错动作不顺着错字编 | 顺着错字编站 | 12306站点库 | 考容错
F01★ | F | offline | 北京到上海走哪条线路？ | 以京沪高速线为主的线路序列(允许联络线) | 主线路判断正确,有来源 | 主线错 | 黄河客里表 | 旅客径路口径
F02 | F | offline | 北京到上海全程多少公里？ | 1300出头(约1318-1325) | 数值在此带±5,注明"客运运价里程"口径 | 数字出带 | 黄河客里表 | 考口径，防与老京沪1463混淆
F03 | F | offline | 北京到上海走老京沪线的普速，又是多少公里？ | 分两种口径:高铁径路(约1320) vs 既有线(公认1463一带)；分不清就明说 | 口径分得清,数值在公认带±10,不把1320当1463 | 口径串味 | 黄河客里表 | 最容易翻车点
F04 | F | offline | 济南到南京南这段径路走哪些线路？ | 给出线路序列+里程 | 站序合理有来源 | 编线路 | 黄河客里表 | -
F05 | F | offline | 北京到北京的径路怎么走？ | 指出起终相同无径路可言 | 点破起终相同,不甩怪路径不吐报错 | 甩怪路径 | 黄河客里表 | 考荒谬输入
B01 | B | offline | CR400AF 和 CR400BF 有什么区别？ | 讲清 AF 四方造"红神龙"、BF 长客/唐车"金凤凰" | 厂家与绰号对应正确,带"模型知识/请核实"标注 | 方向性硬伤 | 知识 | 对照 J/徽标
B02 | B | offline | CR400AF 的最高运营时速是多少？ | 350公里/小时 | 数值正确,不与试验时速混淆,带知识标注 | 数值错 | 知识 | -
B03 | B | offline | CR200J 为什么被叫"绿巨人"？ | 动力集中式(机车+客车)+墨绿涂装两点 | 两要素齐全,不与动力分散混淆 | 要素缺方向错 | 知识 | -
B04 | B | offline | 和谐号和复兴号是什么关系？ | 讲清"引进消化(CRH)→自主化(CR)"脉络 | 脉络无硬伤 | 脉络错 | 知识 | -
B05 | B | offline | CR450 复兴号现在到哪一步了？ | 检索叙述(试验/取证等节点)带来源 | 节点有据可点开,不虚构已商业运营 | 虚构已商业运营 | 知识+资讯 | 考混合标注
G01★ | G | real | 我在吉林市船营区，要拍 CR400AF，今天下午 | 先查 CR400AF 今天是否/何时经过吉林(交路+线路)，再谈去哪拍；给安全提醒；机位拿不准就明说 | 推理顺序"先车后点",无危险推荐,有来源或诚实说明 | 推荐危险/违法位置 | 工具链+web | 门面场景
